block,pot,species,aphid_treat,CO2,live_adult,dead_adult,live_nymph,dead_nymph,total_aphids,shoot_dry_wt,root_dry_wt,sucrose,glucose,fructose,total_sugar
2,13,foxtail barley,infested,Elevated,3,0,22,0,25,4.65,0.957,33.194,9.776,14.989,57.96
2,14,foxtail barley,infested,Elevated,2,1,18,0,21,6.14,1.223,43.126,10.13,12.573,65.828
2,15,foxtail barley,infested,Elevated,1,2,0,2,5,4.4,0.806,30.206,9.866,14.086,54.158
2,16,foxtail barley,infested,Elevated,1,2,6,0,9,4.29,0.917,31.304,11.224,18.952,61.48
2,17,foxtail barley,infested,Elevated,1,2,5,0,8,3.63,0.427,6.067,4.686,6.206,16.959
2,18,foxtail barley,infested,Elevated,1,2,5,0,8,4.64,0.672,51.117,12.621,17.528,81.266
2,19,foxtail barley,infested,Elevated,1,2,20,0,23,3.07,0.529,39.866,11.104,16.678,67.648
2,20,foxtail barley,infested,Elevated,3,0,32,1,36,4.55,0.645,24.535,7.777,12.322,44.635
2,31,green foxtail,infested,Ambient,1,2,0,0,3,12.73,1.194,72.185,29.922,27.697,129.804
2,32,green foxtail,infested,Ambient,1,2,0,0,3,9.12,0.494,56.535,17.71,19.858,94.103
2,33,green foxtail,infested,Ambient,0,3,0,0,3,8.99,0.36,57.04,20.895,22.741,100.676
2,34,green foxtail,infested,Ambient,0,4,0,0,4,9.02,0.451,55.927,16.525,17.743,90.195
2,35,green foxtail,infested,Ambient,1,2,1,0,4,12.21,1.249,88.763,28.003,29.359,146.125
2,36,green foxtail,infested,Ambient,1,2,0,0,3,13.53,0.762,43.781,19.848,23.515,87.144
2,37,green foxtail,infested,Ambient,1,2,0,0,3,9.73,0.572,64.114,18.769,19.287,102.171
2,38,green foxtail,infested,Ambient,0,3,0,0,3,10.2,0.618,76.563,21.385,21.726,119.674
2,39,green foxtail,infested,Ambient,1,2,0,0,3,4.83,0.58,50.81,17.791,18.508,87.109
2,40,green foxtail,infested,Ambient,1,2,0,17,20,8.12,0.237,22.591,12.487,20.983,56.061
2,31,green foxtail,infested,Elevated,1,2,0,0,3,15.57,0.82,68.636,17.995,25.364,111.996
2,32,green foxtail,infested,Elevated,0,2,0,1,3,12.16,0.769,68.787,18.455,15.638,102.879
2,33,green foxtail,infested,Elevated,1,2,0,0,3,11.21,0.457,44.645,11.807,20.89,77.341
2,34,green foxtail,infested,Elevated,1,2,0,0,3,13.81,0.715,48.834,8.617,20.274,77.726
2,35,green foxtail,infested,Elevated,0,3,0,0,3,12.68,0.652,47.617,9.896,22.913,80.427
2,36,green foxtail,infested,Elevated,0,3,0,0,3,14.01,0.672,90.406,13.91,20.338,124.655
2,37,green foxtail,infested,Elevated,0,2,0,0,2,14.62,1.571,23.144,4.04,12.31,39.494
2,38,green foxtail,infested,Elevated,1,2,0,10,13,11.18,0.714,37.331,9.651,23.766,70.748
2,39,green foxtail,infested,Elevated,0,3,0,0,3,13.09,0.771,30.122,5.913,19.769,55.803
2,40,green foxtail,infested,Elevated,2,1,4,0,7,14.01,0.792,55.868,10.262,22.518,88.648
2,51,winter wheat,infested,Ambient,2,1,20,0,23,2.46,0.24,36.319,21.906,44.17,102.394
2,52,winter wheat,infested,Ambient,1,2,12,0,15,3.14,0.205,36.423,15.815,31.291,83.529
2,53,winter wheat,infested,Ambient,2,1,27,0,30,2.58,0.136,20.221,14.836,35.198,70.255
2,54,winter wheat,infested,Ambient,2,1,22,0,25,3.96,0.24,24.217,14.056,31.046,69.319
2,55,winter wheat,infested,Ambient,3,0,24,0,27,4.37,0.3,36.8,17.892,40.816,95.508
2,56,winter wheat,infested,Ambient,2,1,7,1,11,2.97,0.159,39.508,22.199,45.271,106.977
2,57,winter wheat,infested,Ambient,2,1,13,0,16,3.57,0.338,47.48,17.854,43.491,108.824
2,58,winter wheat,infested,Ambient,0,3,2,0,5,3.89,0.344,30.962,17.735,48.831,97.528
2,59,winter wheat,infested,Ambient,1,2,9,1,13,5.23,0.314,36.163,21.234,46.788,104.185
2,60,winter wheat,infested,Ambient,2,0,26,0,28,3.64,0.19,27.345,16.543,38.852,82.74
2,51,winter wheat,infested,Elevated,2,1,12,5,20,4.86,0.33,45.892,13.237,34.761,93.889
2,52,winter wheat,infested,Elevated,2,1,22,0,25,3.97,0.204,41.105,11.714,26.391,79.21
2,53,winter wheat,infested,Elevated,2,2,21,0,25,4.32,1.008,78.56,18.12,32.572,129.252
2,54,winter wheat,infested,Elevated,2,1,33,0,36,4.89,0.4,40.237,11.91,26.074,78.221
2,55,winter wheat,infested,Elevated,0,3,1,0,4,5.1,0.285,50.493,21.454,46.504,118.45
2,56,winter wheat,infested,Elevated,3,0,52,0,55,3.77,0.237,29.977,11.706,25.996,67.68
2,57,winter wheat,infested,Elevated,1,2,5,0,8,4.19,0.152,40.745,11.179,25.043,76.967
2,58,winter wheat,infested,Elevated,2,1,4,2,9,5.21,0.316,49.477,12.661,25.464,87.602
2,59,winter wheat,infested,Elevated,2,1,23,3,29,3.98,0.233,39.752,14.541,32.264,86.557
2,60,winter wheat,infested,Elevated,0,3,14,0,17,5.13,0.465,112.419,35.33,43.65,191.4
