File Name,10_19_2021_CO2_set1.pcrd,,,,,,,
Created By User,admin,,,,,,,
Notes,,,,,,,,
ID,,,,,,,,
Run Started,10/19/2021 20:13:48 UTC,,,,,,,
Run Ended,10/19/2021 21:47:52 UTC,,,,,,,
Sample Vol,10,,,,,,,
Lid Temp,105,,,,,,,
Protocol File Name,BYDV_Luna_program.prcl,,,,,,,
Plate Setup File Name,BYDV_30Sample.pltd,,,,,,,
Base Serial Number,BR002039,,,,,,,
Optical Head Serial Number,788BR01972,,,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,,,
,,,,,,,,
Well group,All Wells,,,,,,,
Amplification step,4,,,,,,,
Melt step,8,,,,,,,
,,,,,,,,
,,,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev
F07,SYBR,,Unkn,22,33.0497889701873,6.30261616869661E-07,33.0497889701873,0
F08,SYBR,,Unkn,22,34.8039402080015,1.86433046960248E-07,34.8039402080015,0
F09,SYBR,,Unkn,23,34.4558223285918,2.37413014929046E-07,34.4558223285918,0
F10,SYBR,,Unkn,23,34.7393869924,1.94980041377995E-07,34.7393869924,0
F11,SYBR,,Unkn,24,32.9565817697844,6.72402437106979E-07,32.9565817697844,0
F12,SYBR,,Unkn,24,32.3244696156673,1.04292919978418E-06,32.3244696156673,0
G01,SYBR,,Unkn,25,34.6369618231938,2.09352635818379E-07,34.6369618231938,0
G02,SYBR,,Unkn,25,35.229497975027,1.38735558845386E-07,35.229497975027,0
G03,SYBR,,Unkn,26,33.2447723603596,5.50452535998403E-07,33.2447723603596,0
G04,SYBR,,Unkn,26,32.6781577956691,8.15818163395804E-07,32.6781577956691,0
G05,SYBR,,Unkn,27,33.4115671076284,4.9025239126127E-07,33.4115671076284,0
G06,SYBR,,Unkn,27,33.6150663902759,4.256480102337E-07,33.6150663902759,0
G07,SYBR,,Unkn,28,34.8761143000403,1.77319874513389E-07,34.8761143000403,0
G08,SYBR,,Unkn,28,33.3663858393643,5.0587707522502E-07,33.3663858393643,0
G09,SYBR,,Unkn,29,32.6013478480646,8.60511906124166E-07,32.6013478480646,0
G10,SYBR,,Unkn,29,32.179777928493,1.15315950043769E-06,32.179777928493,0
G11,SYBR,,Unkn,30,32.8778040841528,7.10209048908564E-07,32.8778040841528,0
G12,SYBR,,Unkn,30,32.4379223141867,9.63919994618479E-07,32.4379223141867,0
H09,SYBR,,Neg Ctrl,NC,NaN,NaN,0,0
H10,SYBR,,Neg Ctrl,NC,NaN,NaN,0,0
H11,SYBR,,NTC,water,NaN,NaN,0,0
H12,SYBR,,NTC,water,NaN,NaN,0,0
