Sample,Content,Cq,Starting Quantity (SQ),Cq Mean
ST1,Std-2,13.1666763,1,13.04203411
ST1,Std-2,12.91739191,1,13.04203411
St2,Std,15.57427372,0.1,15.57427372
St2,Std,15.52106292,0.1,15.52106292
ST3,Std,19.13186038,0.01,19.13186038
ST3,Std,19.07796972,0.01,19.07796972
ST4,Std,22.52223375,0.001,22.52223375
ST4,Std,22.46973478,0.001,22.46973478
ST5,Std,26.45884498,0.0001,26.45884498
ST5,Std,26.4675223,0.0001,26.4675223
ST6,Std,29.10223881,1.00E-05,29.10223881
ST6,Std,29.4497808,1.00E-05,29.4497808
ST7,Std,34.09545976,1.00E-06,34.09545976
ST7,Std,32.90050222,1.00E-06,32.90050222
ST8,Std,34.85598948,1.00E-07,34.85598948
ST8,Std,35.71779705,1.00E-07,35.71779705
1,Unkn,29.23681941,1.07E-05,29.23681941
1,Unkn,29.39043668,9.65E-06,29.39043668
2,Unkn,34.84059235,2.23E-07,34.84059235
2,Unkn,35.10582405,1.86E-07,35.10582405
3,Unkn,33.86774801,4.37E-07,33.86774801
3,Unkn,33.03452829,7.78E-07,33.03452829
4,Unkn,32.88663716,8.62E-07,32.88663716
4,Unkn,32.76899782,9.35E-07,32.76899782
5,Unkn,33.18545496,7.01E-07,33.18545496
5,Unkn,34.31731865,3.21E-07,34.31731865
6,Unkn,31.60647371,2.09E-06,31.60647371
6,Unkn,31.36259769,2.47E-06,31.36259769
7,Unkn,35.06892186,1.91E-07,35.06892186
7,Unkn,33.37134281,6.16E-07,33.37134281
8,Unkn,33.18867152,6.99E-07,33.18867152
8,Unkn,33.11541408,7.36E-07,33.11541408
9,Unkn,32.96832962,8.14E-07,32.96832962
9,Unkn,32.58634437,1.06E-06,32.58634437
10,Unkn,35.04751633,1.94E-07,35.04751633
10,Unkn,37.4435378,3.70E-08,37.4435378
11,Unkn,34.85066456,2.22E-07,34.85066456
11,Unkn,35.50412392,1.41E-07,35.50412392
12,Unkn,34.47021056,2.89E-07,34.47021056
12,Unkn,33.9829345,4.04E-07,33.9829345
13,Unkn,34.2759308,3.30E-07,34.2759308
13,Unkn,33.45220235,5.83E-07,33.45220235
14,Unkn,33.78488185,4.63E-07,33.78488185
14,Unkn,32.93904044,8.31E-07,32.93904044
15,Unkn,32.95869946,8.20E-07,32.95869946
15,Unkn,34.2708308,3.31E-07,34.2708308
16,Unkn,34.15506687,3.59E-07,34.15506687
16,Unkn,33.33304165,6.33E-07,33.33304165
17,Unkn,15.51545884,0.140498762,15.51545884
17,Unkn,15.59792954,0.132716988,15.59792954
18,Unkn,12.59757519,1.054887758,12.59757519
18,Unkn,12.77464726,0.933414186,12.77464726
19,Unkn,31.57838319,2.13E-06,31.57838319
19,Unkn,31.39598915,2.41E-06,31.39598915
20,Unkn,30.5128411,4.44E-06,30.5128411
20,Unkn,30.24706006,5.34E-06,30.24706006
21,Unkn,33.76683601,4.69E-07,33.76683601
21,Unkn,33.54657803,5.46E-07,33.54657803
NC,Neg Ctrl,34.23676969,3.39E-07,34.23676969
NC,Neg Ctrl,36.16879269,8.92E-08,36.16879269
water,NTC,34.63082539,NaN,34.63082539
water,NTC,35.34089907,NaN,35.34089907
